id;reference;variation_index;rhythm_type;melody;clef;alter;support_sound;height;tempo;bar;note_length;;
1;245;1;1;dB BG BA AF | cA AF AG GG;&;^F;g;b;0;0;1/8;;
2;245;2;1;dB BG BA A!mark!G | cA AF AG GG;&;^F;g;b;0;0;1/8;;
3;246;1;1;dd cB dB BA | cB AG BG GG;&;;g;0;0;0;1/8;;
4;247;1;1;dd dc BA AB | cB cA AG GG;&;^F;g;g1=Fis;0;0;1/8;;
5;4492;1;1;GD cc BA GE | ED DA AF GG;&;^F;g;h;1/4=84;24;1/8;;
6;4492;2;1;GD cc BA GE | ED !mark!B!mark!F A!mark!A GG;&;^F;g;h;1/4=84;24;1/8;;
7;4563;1;1;Bd Bc BG dB | AG cB AG GG;&;^F;g;0;0;0;1/8;;
8;4563;2;1;Bd Bc BG dB | AG cB !mark!BG GG;&;^F;g;0;0;0;1/8;;
9;248;1;1;dB GG BA FA | cA FF GG GB;&;^F;g;0;0;0;1/8;;
10;249;1;1;dB Gd BG GG | dB Fd BG GG;&;^F;g;0;0;0;1/8;;
11;250;1;1;dB Gd cA FA | cA Fd BG GG;&;^F;g;0;0;0;1/8;;
12;251;1;1;cA dc BG GA | cB BG BA AA;&;_B;"f;a";0;0;0;1/8;;
13;252;1;1;ed cd ec cc | dc BB ed cc;&;^F ^C ^G;#c;0;0;0;1/8;;
14;253;1;1;ed cd ec cc | dc BB ed cc;&;^F ^C ^G;"a;#c";0;0;0;1/8;;
15;254;1;1;ed cd ec cc | dc BB ed cc;&;^F ^C ^G;"a;#c";0;0;0;1/8;;
16;255;1;1;dB de dc Ad | BG Ac BG GG;&;^F;g;0;0;0;1/8;;
17;256;1;1;GA Bd cA BG | cA BG GF FF;&;_B;"f;g";0;0;0;1/8;;
18;256;2;1;!mark!cA Bd cA BG | cA BG GF FF;&;_B;"f;g";0;0;0;1/8;;
19;257;1;1;GA Bd cA BG | cA BG GF FF;&;_B;"f;g";0;0;0;1/8;;
20;257;2;1;!mark!cA Bd cA BG | cA BG GF FF;&;_B;"f;g";0;0;0;1/8;;
21;258;1;1;FG BG AF FA | GE EG FD DD;&;^F ^C;d;0;0;0;1/8;;
22;259;1;1;cA dc BA FA | cB GF EG FF;&;_B;f;0;0;0;1/8;;
23;260;1;1;GB/c/ dB cA AA | eB cA GB AA;&;;"a;g";0;0;0;1/8;;
24;261;1;1;GB/c/ dB cA AA | eB cA GB AA;&;;"a;g";0;0;0;1/8;;
25;262;1;1;GB/c/ dB cA AA | eB cA GB AA;&;;"a;g";0;0;0;1/8;;
26;263;1;1;dc de ed dB | dc cA ed dB;&;^F;"h;g?";0;1/8=240;0;1/8;;
27;264;1;1;GG cc GG EC | AA GG GG EC;&;;c;0;0;0;1/8;;
28;264;2;1;GG cc GG EC | AA GG GG !mark!c!mark!c;&;;c;0;0;0;1/8;;
29;265;1;1;GG FD GE DB, | CD B,A, CE DD;&;^F;d;0;0;0;1/8;;
30;266;1;1;Bd Bc BG dB | AG cB AG GG;&;^F;g;0;0;0;1/8;;
31;266;2;1;Bd Bc BG dB | AG cB !mark!BG GG;&;^F;g;0;0;0;1/8;;
32;267;1;1;Bd Bc BG dB | AG cB AG GG;&;^F;g;0;0;0;1/8;;
33;267;2;1;Bd Bc BG dB | AG cB !mark!BG GG;&;^F;g;0;0;0;1/8;;
34;268;1;1;Bd Bc BG dB | AG cB AG GG;&;^F;g;0;0;0;1/8;;
35;268;2;1;Bd Bc BG dB | AG cB !mark!BG GG;&;^F;g;0;0;0;1/8;;
36;269;1;1;Bd Bc BG dB | AG cB AG GG;&;^F;g;0;0;0;1/8;;
37;269;2;1;Bd Bc BG dB | AG cB !mark!BG GG;&;^F;g;0;0;0;1/8;;
38;270;1;1;Bd Bc BG dB | AG cB AG GG;&;^F;g;0;0;0;1/8;;
39;270;2;1;Bd Bc BG dB | AG cB !mark!BG GG;&;^F;g;0;0;0;1/8;;
40;271;1;1;Bd Bc BG dB | AG cB AG GG;&;^F;g;0;0;0;1/8;;
41;271;2;1;Bd Bc BG dB | AG cB !mark!BG GG;&;^F;g;0;0;0;1/8;;
42;272;1;1;Bd Bc BG dB | AG cB AG GG;&;^F;g;0;0;0;1/8;;
43;272;2;1;Bd Bc BG dB | AG cB !mark!BG GG;&;^F;g;0;0;0;1/8;;
44;177;1;1;GA BB BB AG | BB BB AA GG;&;;g;0;0;C;1/8;;
45;177;2;1;GA BB BB AG | BB B!mark!A !mark!BA GG;&;;g;0;0;C;1/8;;
46;177;1;1;dc Bc cB AB | dc Bc/B/ AA AA;&;;g;0;0;C;1/8;;
47;177;2;1;dc Bc !mark!dB AB | dc Bc/B/ AA AA;&;;g;0;0;C;1/8;;
48;179;1;1;A/B/B BA BG GG | A/B/B BA AG GG;&;^F;g;0;1/4=130;44288;1/8;;
49;179;2;1;A/B/B BA BG GG | A/B/B BA AG G!mark!D;&;^F;g;0;1/4=130;44288;1/8;;
50;180;1;1;BA cA AG GG | BA cB AG GG;&;^F;g;0;0;44288;1/8;;
51;181;1;1;GG GB cB AB | BA AG GG GG;&;^F;g;0;0;44288;1/8;;
52;182;1;1;BA cB BA cB | BA cB AG GG,;&;^F;g;0;0;44288;1/8;;
53;183;1;1;GG AB cB AA | cB AA GG GG,;&;^F;g;0;0;24;1/8;;
54;183;2;1;GG AB cB AA | !mark!BB AA GG GG,;&;^F;g;0;0;24;1/8;;
55;184;1;1;GA cB BA AA | GA cB BA AG;&;;g;0;0;24;1/8;;
56;185;1;1;cB cB cB AB | cB c/A/B cB AA;&;;a;0;0;24;1/8;;
57;186;1;1;GA/B/ cc cA cB | BG BB AG GG;&;_B _E;g;0;0;C;1/8;;
58;188;1;1;AB cA AB BG | BB cA AB AA;&;;a;0;0;0;1/8;;
59;189;1;1;CE CE DC DE | DE CE DC CC;&;;c;0;0;24;1/8;;
60;190;1;1;GB BG AA GG | BB BG AB GG;&;^F;g;0;0;24;1/8;;
61;191;1;1/2A;BB Bd ed cB | ed cB BB B2 E2;&;^F ^C ^G ^D;h, (e?);0;0;0;1/8;;
